,Unknown (Voting Frequency),1 (Voting Frequency),2 (Voting Frequency),3 (Voting Frequency),4 (Voting Frequency),5 (Voting Frequency),6 (Voting Frequency),7 (Voting Frequency),8 (Voting Frequency),European (Broad Ethnic Groupings),Hispanic and Portuguese (Broad Ethnic Groupings),Likely African-American (Broad Ethnic Groupings),East and South Asian (Broad Ethnic Groupings),Other (Broad Ethnic Groupings),Unknown (Broad Ethnic Groupings),18 to 19 (Age Range Based on Birth Year),20 to 24 (Age Range Based on Birth Year),25 to 29 (Age Range Based on Birth Year),30 to 34 (Age Range Based on Birth Year),35 to 39 (Age Range Based on Birth Year),40 to 44 (Age Range Based on Birth Year),45 to 49 (Age Range Based on Birth Year),50 to 54 (Age Range Based on Birth Year),55 to 64 (Age Range Based on Birth Year),65 and over (Age Range Based on Birth Year),Unknown (Age Range Based on Birth Year),Unknown (Estimated Income Range),"""$1,000-$14,999 (Estimated Income Range)""","""$15,000-$24,999 (Estimated Income Range)""","""$25,000-$34,999 (Estimated Income Range)""","""$35,000-$49,999 (Estimated Income Range)""","""$50,000-$74,999 (Estimated Income Range)""","""$75,000-$99,999 (Estimated Income Range)""","""$100,000-$124,999 (Estimated Income Range)""","""$125,000-$149,999 (Estimated Income Range)""","""$150,000-$174,999 (Estimated Income Range)""","""$175,000-$199,999 (Estimated Income Range)""","""$200,000-$249,999 (Estimated Income Range)""","""$250,000 and up (Estimated Income Range)""",Liberal (Ideology - General),Moderate (Ideology - General),Conservative (Ideology - General),Unknown (Ideology - General),Libertarian (Parties Description),Republican (Parties Description),Democratic (Parties Description),American Independent (Parties Description),Non-Partisan (Parties Description),Other (Parties Description),Registered Independent (Parties Description),Total
TX -- NACOGDOCHES (County),61,41,48,53,71,83,76,87,187,595,22,37,1,4,48,0,9,5,26,24,31,41,40,107,424,0,6,41,27,41,64,135,129,5,224,10,12,9,4,53,26,536,92,0,555,110,0,42,0,0,707
TX -- NAVARRO (County),99,48,57,59,75,81,87,96,172,648,26,26,3,4,67,0,2,12,16,21,35,46,53,136,451,2,7,39,29,36,86,210,117,20,190,16,12,9,3,71,52,529,122,0,576,142,0,56,0,0,774
TX -- NEWTON (County),13,8,7,11,14,20,18,19,44,122,6,12,0,0,14,0,1,2,4,2,2,11,14,25,93,0,1,13,15,13,22,44,14,0,29,0,1,2,0,1,8,121,24,0,130,16,0,8,0,0,154
TX -- NOLAN (County),26,16,20,19,15,23,20,22,45,168,28,2,0,1,7,0,1,4,4,5,10,16,14,35,117,0,1,16,9,16,30,60,27,0,46,1,0,0,0,13,7,137,49,0,140,40,0,26,0,0,206
TX -- NUECES (County),1067,540,624,570,799,776,735,702,894,3147,3026,50,17,42,425,0,52,83,204,235,371,423,543,1273,3515,8,55,216,176,246,580,1263,1269,231,2048,169,252,142,60,927,461,3003,2316,0,3360,2314,0,1033,0,0,6707
TX -- OCHILTREE (County),5,4,6,6,5,5,10,14,24,62,2,0,0,0,15,0,0,0,3,3,6,2,5,6,54,0,1,3,1,5,12,16,15,0,23,1,2,0,0,1,7,41,30,0,68,3,0,8,0,0,79
TX -- OLDHAM (County),2,0,0,1,1,0,0,2,1,7,0,0,0,0,0,0,0,0,0,0,1,1,2,0,3,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,4,3,0,7,0,0,0,0,0,7
TX -- ORANGE (County),199,112,125,123,154,178,163,218,242,1268,40,64,4,4,134,0,9,25,49,47,79,90,126,285,804,0,7,69,37,54,150,298,366,75,403,16,22,6,11,80,20,1014,400,0,1197,218,0,99,0,0,1514
TX -- PALO PINTO (County),70,27,41,54,51,57,69,77,119,498,23,2,1,1,40,0,5,7,15,21,27,21,38,91,339,1,1,25,15,15,67,148,129,8,131,8,10,5,3,22,46,362,135,0,455,63,0,47,0,0,565
TX -- PANOLA (County),31,22,25,19,23,22,27,53,75,251,10,16,0,3,17,0,1,6,11,8,20,12,16,43,179,1,6,13,16,17,27,88,58,2,65,2,2,1,0,10,11,198,78,0,216,59,0,22,0,0,297
TX -- PARKER (County),339,209,279,315,480,416,415,422,579,2922,165,9,16,19,323,0,21,30,81,145,234,267,342,724,1606,4,24,50,38,39,134,434,701,102,1168,213,277,158,116,172,260,2005,1017,0,2810,427,0,217,0,0,3454
TX -- PARMER (County),5,2,2,5,3,3,13,5,17,42,10,0,0,0,3,0,0,1,1,4,1,0,1,11,36,0,0,3,2,2,2,18,15,1,12,0,0,0,0,0,7,39,9,0,47,6,0,2,0,0,55
TX -- PECOS (County),11,6,10,7,4,18,13,24,20,52,53,0,1,0,7,0,0,0,7,5,5,8,8,25,55,0,4,12,4,9,14,23,19,3,22,2,0,1,0,2,10,67,34,0,73,31,0,9,0,0,113
TX -- POLK (County),152,76,94,98,125,103,111,106,134,838,33,23,2,5,98,0,5,8,18,18,28,37,52,179,652,2,90,47,21,47,106,298,136,6,198,19,13,13,5,55,8,680,256,0,729,178,0,92,0,0,999
TX -- POTTER (County),188,99,139,125,178,160,158,193,290,1199,157,42,9,6,117,0,8,17,42,47,69,84,103,253,905,2,14,119,47,115,188,309,239,21,356,38,49,23,12,103,92,1054,281,0,1148,278,0,104,0,0,1530
TX -- PRESIDIO (County),4,0,1,0,1,0,0,2,1,1,8,0,0,0,0,0,1,2,1,0,0,1,1,1,2,0,4,0,1,0,2,1,1,0,0,0,0,0,0,1,0,0,8,0,0,9,0,0,0,0,9
TX -- RAINS (County),26,13,17,23,38,37,28,35,51,237,6,0,0,1,24,0,1,0,3,7,11,11,16,48,171,0,3,9,7,11,34,54,58,18,59,3,9,2,1,11,8,170,79,0,215,39,0,14,0,0,268
TX -- RANDALL (County),258,183,204,255,318,297,290,316,528,2151,243,15,10,17,213,0,21,36,68,101,197,177,205,470,1372,2,16,35,23,57,160,442,505,129,960,108,103,75,36,42,372,1605,630,0,2131,306,0,212,0,0,2649
TX -- REAGAN (County),8,11,6,2,8,7,5,10,14,39,29,0,0,0,3,0,0,3,1,5,7,4,1,12,38,0,2,3,3,4,10,23,8,0,17,0,0,0,1,0,1,59,11,0,62,7,0,2,0,0,71
TX -- REAL (County),3,5,4,6,6,4,9,9,21,51,8,0,1,0,7,0,0,0,1,1,2,3,2,9,49,0,1,2,0,4,8,24,9,0,14,3,1,1,0,6,1,46,14,0,51,13,0,3,0,0,67
TX -- RED RIVER (County),26,15,14,13,22,25,26,11,32,156,1,14,0,0,13,0,1,4,6,9,5,7,12,35,105,0,1,23,10,11,42,41,18,0,35,0,0,2,1,2,13,132,37,0,145,28,0,11,0,0,184
TX -- REEVES (County),21,15,7,10,8,6,12,15,23,34,79,0,0,0,4,0,1,1,2,7,8,6,8,17,66,1,2,15,10,4,11,26,24,0,25,0,0,0,0,0,5,23,89,0,20,94,0,3,0,0,117
TX -- REFUGIO (County),10,9,7,5,12,17,13,13,18,74,23,0,0,0,7,0,3,0,2,2,7,4,6,22,58,0,1,8,6,2,10,34,20,0,19,4,0,0,0,0,8,79,17,0,78,19,0,7,0,0,104
TX -- ROBERTS (County),1,0,0,0,0,2,3,4,8,17,0,0,0,0,1,0,0,0,0,0,2,1,0,0,15,0,0,2,1,0,2,2,5,0,5,0,0,0,1,0,0,7,11,0,18,0,0,0,0,0,18
TX -- ROBERTSON (County),23,15,18,15,21,27,28,28,85,201,13,17,0,1,28,0,0,1,5,7,15,11,12,49,159,1,3,12,11,10,18,67,46,5,70,5,8,1,4,11,5,192,52,0,203,49,0,8,0,0,260
TX -- ROCKWALL (County),155,123,171,189,261,276,219,219,277,1510,140,31,15,17,177,0,9,15,51,78,135,179,230,394,797,2,10,13,10,10,29,89,220,70,750,136,225,207,121,159,66,1310,355,0,1433,352,0,105,0,0,1890
TX -- RUNNELS (County),25,19,12,4,20,19,16,33,37,149,18,0,0,0,18,0,1,2,4,7,8,10,13,27,112,1,3,18,4,9,33,49,31,0,34,3,0,1,0,2,23,122,38,0,150,16,0,19,0,0,185
TX -- RUSK (County),88,45,47,57,47,74,76,77,120,526,14,39,1,1,50,0,6,7,24,24,30,39,50,102,348,1,10,40,17,30,84,186,111,0,130,9,12,0,2,7,45,451,128,0,499,90,0,42,0,0,631
TX -- SABINE (County),7,12,9,13,19,22,28,25,36,147,4,0,0,1,19,0,1,0,1,3,3,9,10,23,121,0,3,10,6,14,28,50,23,0,34,0,3,0,0,1,5,128,37,0,145,17,0,9,0,0,171
TX -- SAN AUGUSTINE (County),9,7,8,6,14,8,10,22,18,70,1,20,0,1,10,0,0,1,4,3,6,5,5,19,59,0,1,6,3,12,9,34,18,0,18,0,1,0,0,0,9,67,26,0,75,25,0,2,0,0,102
TX -- SAN JACINTO (County),71,26,37,43,44,50,50,70,91,422,14,9,1,1,35,0,3,1,10,8,16,26,28,85,303,2,11,28,15,15,64,97,101,14,115,5,8,5,4,27,2,356,97,0,373,73,0,36,0,0,482
TX -- SAN PATRICIO (County),172,103,92,111,165,161,133,134,186,744,396,3,3,7,104,0,7,17,34,44,96,74,97,258,625,5,8,49,31,45,142,276,243,11,352,42,37,14,7,49,32,757,419,0,801,279,0,177,0,0,1257
TX -- SAN SABA (County),7,6,2,5,11,3,6,11,23,62,7,0,1,1,3,0,0,0,2,1,6,1,7,15,42,0,0,2,1,5,6,23,10,0,25,0,1,1,0,1,4,54,15,0,62,8,0,4,0,0,74
TX -- SCHLEICHER (County),3,1,2,0,4,2,5,5,9,25,5,0,0,0,1,0,0,0,0,0,3,1,5,2,20,0,1,0,0,0,1,9,10,0,8,1,1,0,0,1,1,23,6,0,26,4,0,1,0,0,31
TX -- SCURRY (County),29,13,17,10,13,13,23,21,39,134,34,0,0,2,8,0,2,3,6,5,7,5,10,31,109,0,0,9,2,7,37,19,42,0,56,3,1,2,0,5,1,113,59,0,143,22,0,13,0,0,178
TX -- SHACKELFORD (County),5,4,6,2,5,10,5,5,5,40,4,0,0,1,2,0,0,1,2,1,1,2,6,5,29,0,0,2,2,4,6,13,8,0,12,0,0,0,0,3,6,24,14,0,37,7,0,3,0,0,47
TX -- SHELBY (County),28,15,13,11,30,27,35,42,71,231,5,18,2,1,15,0,1,5,3,9,5,11,16,55,165,2,4,20,14,11,57,64,37,0,55,2,5,3,0,4,18,199,51,0,222,38,0,12,0,0,272
TX -- SHERMAN (County),1,0,0,0,2,2,1,1,6,12,0,0,0,0,1,0,0,0,0,0,0,0,0,2,11,0,0,0,2,1,2,1,4,0,3,0,0,0,0,0,2,5,6,0,12,1,0,0,0,0,13
TX -- SMITH (County),299,166,251,243,370,398,482,473,662,2683,108,273,14,23,243,0,12,27,78,124,167,189,214,518,2008,7,21,85,56,86,236,655,719,88,1070,90,123,72,43,200,278,2417,449,0,2581,583,0,180,0,0,3344
TX -- SOMERVELL (County),8,7,13,11,27,22,15,22,30,136,8,0,0,1,10,0,1,2,2,9,11,18,14,26,72,0,2,2,0,2,7,32,27,3,63,8,3,3,3,8,6,104,37,0,131,14,0,10,0,0,155
TX -- STARR (County),24,4,8,10,16,10,10,20,16,6,111,0,1,0,0,0,1,2,6,8,6,5,12,12,65,1,4,12,10,12,29,15,15,0,20,0,0,1,0,2,9,14,93,0,27,91,0,0,0,0,118
TX -- STEPHENS (County),28,9,9,9,6,14,16,19,36,122,10,0,0,0,14,0,1,3,3,3,5,6,9,27,88,1,5,8,3,7,21,45,14,0,37,0,3,2,1,0,27,48,71,0,115,15,0,16,0,0,146
TX -- STERLING (County),0,0,1,2,3,1,1,2,4,8,3,0,0,0,3,0,0,0,0,1,2,2,0,6,3,0,0,1,0,0,0,6,2,0,5,0,0,0,0,0,1,5,8,0,14,0,0,0,0,0,14
TX -- STONEWALL (County),0,1,1,1,1,2,1,3,6,13,2,1,0,0,0,0,0,0,0,1,0,1,0,3,11,0,0,1,0,0,2,6,3,0,3,0,0,0,1,0,0,8,8,0,9,6,0,1,0,0,16
TX -- SUTTON (County),11,3,8,5,8,4,5,11,20,37,31,0,0,1,6,0,0,0,0,2,8,3,7,15,40,0,0,1,1,2,10,15,21,0,21,1,2,1,0,0,2,57,16,0,60,4,0,11,0,0,75
TX -- SWISHER (County),11,4,6,7,7,5,5,13,15,57,11,0,0,1,4,0,0,1,1,4,2,2,8,7,48,0,3,7,1,6,10,15,16,0,15,0,0,0,0,1,1,52,19,0,51,14,0,8,0,0,73
TX -- TARRANT (County),3283,2261,2379,2813,4112,3644,3165,3247,4532,20615,2840,2999,283,232,2467,0,241,456,986,1164,1720,1888,2572,6069,14300,40,121,366,310,525,1406,3978,5072,1035,10999,1415,1847,1257,1105,4790,3188,15398,6060,0,18103,9232,0,2101,0,0,29436
TX -- TAYLOR (County),573,323,345,452,628,690,704,747,778,4111,578,55,19,32,445,0,19,31,102,133,371,294,382,968,2935,5,36,172,105,202,420,933,976,86,1744,157,214,110,85,235,378,3753,874,0,4084,804,0,352,0,0,5240
TX -- TERRELL (County),0,0,0,3,0,2,1,0,2,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,1,5,2,0,0,0,0,0,0,2,1,3,2,0,4,3,0,1,0,0,8
TX -- TERRY (County),14,6,3,4,7,3,8,8,23,50,20,0,0,0,6,0,0,0,1,7,0,4,5,15,44,0,3,3,4,1,15,16,11,0,21,0,2,0,0,0,12,54,10,0,51,18,0,7,0,0,76
TX -- THROCKMORTON (County),3,1,2,0,1,3,2,1,6,16,0,0,1,0,2,0,0,1,1,0,1,1,0,3,12,0,0,1,0,3,2,7,2,0,4,0,0,0,0,0,1,9,9,0,18,1,0,0,0,0,19
TX -- TITUS (County),45,18,19,17,30,28,27,45,66,253,12,8,0,2,20,0,1,7,6,12,13,15,20,48,172,1,2,8,9,22,26,89,58,0,66,4,4,6,1,19,15,196,65,0,227,45,0,23,0,0,295
TX -- TOM GREEN (County),534,299,343,406,536,570,581,613,710,3298,896,17,16,21,344,0,16,36,75,96,320,240,307,829,2670,3,14,139,99,175,315,835,985,63,1499,115,185,126,42,239,653,2924,776,0,3310,948,0,334,0,0,4592
TX -- TRAVIS (County),1353,869,973,1049,1635,1408,1282,1265,1721,7810,2034,444,147,123,997,0,89,222,563,654,858,826,978,2034,5303,28,96,88,83,154,417,1246,1860,479,3963,688,898,719,864,4178,975,3094,3308,0,4770,5843,0,942,0,0,11555
TX -- TRINITY (County),29,20,18,13,30,22,24,43,48,207,10,6,2,0,22,0,3,3,5,5,9,19,8,29,165,1,9,14,7,9,41,70,48,0,43,2,1,2,1,11,2,179,55,0,201,32,0,14,0,0,247
TX -- TYLER (County),30,21,24,26,30,27,33,52,72,261,10,13,0,1,30,0,3,1,8,6,6,16,20,54,200,1,10,26,14,29,43,71,56,0,57,3,5,1,0,0,15,229,71,0,262,39,0,14,0,0,315
TX -- UPSHUR (County),78,68,50,68,75,79,92,102,146,691,15,4,2,1,45,0,2,11,13,27,43,48,65,148,401,0,4,37,21,34,90,238,129,11,168,7,15,3,1,24,25,477,232,0,592,100,0,66,0,0,758
TX -- UPTON (County),2,1,1,2,0,0,3,7,3,17,1,0,0,0,1,0,0,0,0,0,5,1,2,5,6,0,0,1,1,1,3,9,0,0,3,0,0,0,1,0,0,16,3,0,16,0,0,3,0,0,19
TX -- UVALDE (County),81,34,33,45,43,62,69,101,117,236,320,0,0,2,27,0,3,9,11,14,41,33,54,109,310,1,8,22,24,32,84,173,81,0,131,7,17,5,1,16,37,288,244,0,306,211,0,68,0,0,585
TX -- VAL VERDE (County),183,97,81,91,114,126,96,122,165,303,732,2,3,0,35,0,1,13,31,33,78,80,80,191,566,2,13,40,37,53,164,273,140,48,265,9,22,11,0,42,110,426,497,0,461,551,0,63,0,0,1075
TX -- VAN ZANDT (County),125,107,81,90,120,110,123,141,190,964,25,2,2,4,90,0,7,12,23,43,49,58,83,196,611,5,13,40,18,46,91,335,204,19,278,10,23,7,3,32,76,649,330,0,881,126,0,80,0,0,1087
TX -- VICTORIA (County),193,120,117,117,153,179,204,211,353,1059,413,17,3,7,148,0,5,10,41,48,82,106,105,252,996,2,9,61,37,57,133,361,317,29,524,46,38,19,16,208,40,1050,349,0,1157,404,0,86,0,0,1647
TX -- WALKER (County),79,58,45,52,87,82,90,105,180,622,27,50,5,2,72,0,7,10,25,21,32,34,44,147,453,5,9,27,17,21,57,189,174,0,233,17,18,10,6,80,38,558,102,0,594,134,0,50,0,0,778
TX -- WALLER (County),99,58,67,66,100,83,69,93,79,512,65,61,3,5,68,0,5,13,29,40,50,56,67,145,309,0,14,17,11,9,54,112,126,23,263,26,33,14,12,87,17,465,145,0,509,151,0,54,0,0,714
TX -- WARD (County),19,8,11,11,3,16,10,14,16,69,30,0,0,0,9,0,0,2,1,4,8,8,13,19,53,0,3,5,4,6,13,36,24,0,17,0,0,0,0,1,1,69,37,0,67,25,0,16,0,0,108
TX -- WASHINGTON (County),48,25,24,46,49,64,52,81,153,404,29,32,0,3,74,0,2,5,14,8,20,27,28,88,348,2,2,6,12,15,37,95,146,11,185,12,12,7,2,30,19,430,63,0,448,75,0,19,0,0,542
TX -- WEBB (County),229,111,101,106,117,94,137,140,208,130,1087,1,0,2,23,0,6,14,29,57,98,106,127,238,562,6,22,43,37,82,130,249,200,63,358,22,27,6,4,3,44,44,1152,0,264,957,0,22,0,0,1243
TX -- WHARTON (County),72,32,31,36,57,48,69,73,117,343,85,25,1,8,73,0,3,3,12,13,30,26,33,86,328,1,4,17,11,17,48,166,96,8,151,7,8,1,1,31,61,378,65,0,395,107,0,33,0,0,535
TX -- WHEELER (County),3,5,5,1,5,6,4,11,24,61,1,0,0,0,2,0,0,0,1,2,1,3,3,14,39,1,0,7,2,4,9,14,13,0,14,0,0,1,0,1,5,28,30,0,57,4,0,3,0,0,64
TX -- WICHITA (County),715,350,443,501,674,620,631,649,759,4278,390,174,44,34,422,0,19,52,90,120,354,274,388,1025,3019,1,20,127,126,211,473,1154,1098,87,1756,75,138,47,30,14,197,3598,1533,0,3874,1013,0,455,0,0,5342
TX -- WILBARGER (County),63,41,25,23,47,52,48,91,64,354,47,4,3,4,42,0,1,1,3,8,31,15,28,72,295,0,2,16,19,18,41,120,99,0,124,11,3,0,1,31,11,313,99,0,333,82,0,39,0,0,454
TX -- WILLACY (County),29,6,9,6,8,7,15,9,15,25,77,0,0,0,2,0,2,0,3,4,4,2,10,14,62,3,2,12,4,12,29,17,12,0,13,2,0,0,1,0,7,15,82,0,21,80,0,3,0,0,104
TX -- WILLIAMSON (County),948,685,863,999,1415,1330,1189,1121,1477,7428,1299,143,86,90,981,0,65,129,331,384,742,827,988,2037,4489,35,65,52,49,97,276,897,1612,494,3872,660,901,636,416,2028,708,5416,1875,0,6381,2910,0,736,0,0,10027
TX -- WILSON (County),138,107,129,158,207,189,138,166,216,944,324,11,6,8,155,0,9,20,35,61,96,95,166,352,614,0,15,15,9,25,56,157,317,25,500,108,102,75,44,128,92,924,304,0,1062,308,0,78,0,0,1448
TX -- WINKLER (County),4,3,1,3,7,5,6,7,11,30,16,0,0,0,1,0,0,0,1,3,1,2,3,11,26,0,1,5,2,0,5,10,12,5,7,0,0,0,0,2,0,35,10,0,37,6,0,4,0,0,47
TX -- WISE (County),121,87,120,142,187,183,139,137,182,1105,57,0,8,7,121,0,6,15,41,50,81,110,140,282,572,1,9,18,16,23,72,180,289,69,490,42,55,23,12,35,136,814,313,0,1058,135,0,105,0,0,1298
TX -- WOOD (County),128,59,77,85,108,116,135,154,187,935,17,6,4,3,84,0,6,11,20,19,37,43,63,185,665,0,18,48,21,43,114,262,248,5,251,9,13,9,8,37,23,729,260,0,885,94,0,70,0,0,1049
TX -- YOAKUM (County),4,4,1,1,2,2,2,7,16,29,6,1,0,0,3,0,0,0,0,2,0,1,1,9,26,0,1,1,2,1,2,10,13,0,8,0,1,0,0,0,3,31,5,0,33,4,0,2,0,0,39
TX -- YOUNG (County),51,16,31,39,32,48,41,43,61,318,14,1,0,2,27,0,0,7,2,10,15,23,23,53,228,1,4,15,11,23,56,82,60,12,91,2,3,2,1,2,61,166,133,0,285,48,0,29,0,0,362
TX -- ZAPATA (County),4,2,2,2,2,4,6,1,4,7,19,0,0,0,1,0,0,1,0,0,1,1,2,5,17,0,0,6,2,3,4,4,1,0,5,0,1,1,0,0,3,4,20,0,4,22,0,1,0,0,27
TX -- ZAVALA (County),18,16,10,3,14,21,21,28,36,9,154,0,0,0,4,0,0,0,3,7,13,8,13,27,96,0,3,13,7,22,23,50,26,0,22,1,0,0,0,0,10,11,146,0,7,159,0,1,0,0,167
UT -- BEAVER (County),1,3,3,2,6,6,3,4,4,25,1,1,0,1,4,0,0,0,2,0,1,2,3,2,22,0,0,3,1,0,5,3,11,3,5,0,1,0,0,1,8,13,10,2,17,3,1,9,0,0,32
UT -- BOX ELDER (County),33,65,51,84,117,85,98,117,133,702,14,1,2,1,63,0,4,9,16,34,76,61,58,123,399,3,1,17,9,16,49,190,206,44,216,17,11,6,1,24,42,511,206,13,565,29,22,151,3,0,783
UT -- CACHE (County),57,45,80,76,125,91,138,134,200,841,10,2,7,5,81,0,4,18,32,36,70,79,71,137,496,3,5,19,15,27,62,173,239,50,291,14,24,14,13,59,164,228,495,10,657,61,19,198,1,0,946
UT -- CARBON (County),29,24,22,44,87,44,43,36,27,290,25,0,2,2,37,0,0,3,7,12,18,16,27,56,217,0,5,22,10,6,43,117,68,0,73,3,6,2,1,42,24,215,75,1,188,61,21,85,0,0,356
UT -- DAGGETT (County),0,1,2,0,4,2,4,5,3,20,0,0,0,0,1,0,0,0,0,0,1,0,2,1,17,0,0,0,1,1,0,9,2,0,6,2,0,0,0,2,0,13,6,0,15,2,0,4,0,0,21
UT -- DAVIS (County),398,499,757,1074,2101,1490,1427,1521,2408,10115,389,9,122,53,987,0,35,66,128,231,1098,1057,1224,2327,5495,14,26,48,44,78,249,1035,2251,473,4840,686,815,621,509,995,1866,2794,6020,75,7790,793,302,2690,25,0,11675
UT -- DUCHESNE (County),16,10,23,22,35,32,22,39,64,231,5,0,0,0,27,0,0,0,1,5,32,28,20,47,130,0,9,8,5,3,19,58,79,0,68,5,5,4,0,4,29,171,59,1,206,10,9,36,1,0,263
UT -- EMERY (County),2,5,7,11,13,14,12,13,15,87,0,0,0,0,5,0,0,0,2,3,6,4,5,12,58,2,3,3,0,1,11,44,20,0,10,0,0,0,0,7,6,65,14,1,67,7,2,15,0,0,92
UT -- GARFIELD (County),1,3,0,4,3,3,5,9,7,33,0,0,0,0,2,0,0,0,0,0,4,0,3,7,19,2,3,2,0,1,4,9,8,0,5,1,1,1,0,2,1,29,3,0,28,3,0,4,0,0,35
UT -- GRAND (County),5,2,5,7,16,12,13,16,25,90,3,0,0,1,7,0,0,2,2,6,10,1,3,10,67,0,1,10,1,4,9,28,24,0,17,3,2,1,1,3,15,53,30,1,58,7,2,33,0,0,101
UT -- IRON (County),21,23,36,47,65,43,49,88,108,426,8,0,3,3,40,0,5,7,12,16,35,30,32,67,275,1,2,11,11,11,44,121,104,18,138,6,5,7,2,14,123,105,238,8,360,21,11,77,3,0,480
UT -- JUAB (County),9,10,8,10,22,17,15,16,21,114,2,0,0,1,11,0,2,0,5,4,7,8,14,19,69,0,0,4,3,3,14,30,30,3,39,1,0,1,0,3,0,109,16,0,90,4,2,32,0,0,128
UT -- KANE (County),5,4,5,6,9,10,8,13,33,86,1,0,0,1,5,0,0,1,1,1,5,3,6,17,59,0,3,4,2,3,11,27,22,0,19,0,0,1,1,5,4,69,15,0,71,5,4,13,0,0,93
UT -- MILLARD (County),4,4,2,6,15,12,11,21,28,94,1,0,0,2,6,0,0,3,0,1,7,7,5,11,68,1,3,4,2,3,9,31,21,0,25,1,1,1,2,0,3,85,15,1,82,4,1,15,0,0,103
UT -- MORGAN (County),16,14,21,31,57,68,85,90,114,448,5,0,1,2,40,0,2,1,3,5,40,51,44,102,242,6,0,0,2,1,7,17,72,28,221,34,42,35,37,11,41,283,161,5,351,25,13,101,1,0,496
UT -- PIUTE (County),0,0,1,1,1,0,2,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,4,1,1,0,0,1,1,0,0,1,0,1,0,8,0,4,1,1,3,0,0,9
UT -- RICH (County),0,4,1,1,6,4,3,4,3,25,1,0,0,0,0,0,0,0,0,1,3,3,2,8,9,0,1,0,0,2,0,3,5,0,11,1,1,1,1,0,1,19,6,0,22,2,1,1,0,0,26
UT -- SALT LAKE (County),735,1000,1374,1956,4695,3006,2709,2601,3576,18425,861,21,234,182,1929,0,48,164,275,508,1866,1798,2062,4047,10802,82,32,164,140,251,741,2361,3781,803,7770,1312,1590,1359,1348,2516,3591,9336,6209,164,12131,2900,629,5765,63,0,21652
UT -- SAN JUAN (County),1,3,5,4,8,3,4,3,9,35,0,0,0,2,3,0,1,0,0,3,3,4,1,6,22,0,0,1,0,2,5,13,7,0,8,0,0,4,0,3,7,23,7,0,25,3,0,12,0,0,40
UT -- SANPETE (County),11,18,13,26,44,26,35,42,64,242,5,0,1,1,30,0,3,3,2,10,14,24,20,42,161,0,7,9,5,10,33,99,52,3,49,5,3,4,0,6,13,186,74,2,203,9,13,51,1,0,279
UT -- SEVIER (County),11,20,13,21,41,26,32,27,75,245,3,0,0,4,14,0,1,3,5,6,16,16,20,50,148,1,2,18,15,7,21,88,54,5,48,1,2,5,0,1,30,117,118,1,200,11,6,48,0,0,266
UT -- SUMMIT (County),17,28,51,97,241,160,155,144,109,868,26,0,7,6,95,0,0,0,5,9,46,50,109,221,560,2,9,2,1,0,8,40,69,13,234,69,82,112,363,265,25,424,288,4,447,202,36,313,0,0,1002
UT -- TOOELE (County),118,123,176,278,512,253,269,236,235,1861,129,1,5,15,189,0,5,21,19,53,195,190,249,493,972,3,20,17,16,24,97,357,470,129,900,59,63,34,14,220,350,510,1120,8,1274,199,72,641,6,0,2200
UT -- UINTAH (County),33,31,50,69,95,83,101,158,262,766,17,1,3,2,93,0,4,5,12,18,95,61,95,123,469,0,8,16,10,15,56,193,212,35,276,20,25,10,6,34,33,584,231,1,735,35,16,94,1,0,882
UT -- UTAH (County),422,550,949,1198,1880,1412,1414,1732,1814,10038,294,2,71,69,897,0,35,96,183,284,1248,1163,1307,2232,4806,17,26,59,58,90,253,1130,1961,534,4436,825,899,576,524,632,277,5874,4588,91,8096,489,280,2382,33,0,11371
UT -- WASATCH (County),37,25,51,93,176,138,114,113,158,809,10,0,4,5,77,0,0,5,6,13,79,73,93,166,469,1,6,4,5,4,20,70,134,41,397,37,80,53,54,73,77,558,197,5,601,81,25,192,1,0,905
UT -- WASHINGTON (County),84,113,144,215,395,287,328,309,384,1963,61,0,10,16,209,0,10,23,30,46,109,127,141,262,1508,3,6,36,35,65,170,410,538,66,678,53,84,57,61,87,289,1150,733,16,1599,161,79,392,12,0,2259
UT -- WAYNE (County),0,0,1,2,1,2,4,7,4,19,0,0,0,0,2,0,0,0,0,1,4,2,0,4,10,0,3,1,0,1,1,2,5,0,8,0,0,0,0,0,1,14,6,0,16,2,1,2,0,0,21
UT -- WEBER (County),264,293,425,515,894,564,472,513,683,3942,238,6,31,17,389,0,26,67,96,162,375,383,387,902,2224,1,8,55,57,83,256,899,1168,216,1464,118,160,90,49,717,360,653,2893,38,2670,501,168,1235,11,0,4623
VA -- ACCOMACK COUNTY (County),49,26,37,55,163,72,32,21,23,361,2,69,1,1,44,0,3,6,13,13,21,23,20,68,311,0,13,31,18,24,65,138,75,0,83,9,17,3,2,12,57,314,95,0,313,133,0,32,0,0,478
VA -- ALBEMARLE COUNTY (County),91,83,106,202,594,427,90,1,0,1345,23,20,12,17,177,0,11,11,40,70,96,104,98,260,899,5,8,11,11,14,41,130,236,79,541,109,140,141,133,384,97,765,348,0,873,637,0,84,0,0,1594
